Small Unit Installation Postcode,Previous Years (2001-2019) - Installation Quantity,Previous Years (2001-2019) - SGU Output Rated Output In kW,Jan 2020 - Installations Quantity,Jan 2020 - SGU Rated Output In kW,Feb 2020 - Installations Quantity,Feb 2020 - SGU Rated Output In kW,Mar 2020 - Installations Quantity,Mar 2020 - SGU Rated Output In kW,Apr 2020 - Installations Quantity,Apr 2020 - SGU Rated Output In kW,May 2020 - Installations Quantity,May 2020 - SGU Rated Output In kW,Jun 2020 - Installations Quantity,Jun 2020 - SGU Rated Output In kW,Jul 2020 - Installations Quantity,Jul 2020 - SGU Rated Output In kW,Aug 2020 - Installations Quantity,Aug 2020 - SGU Rated Output In kW,Sep 2020 - Installations Quantity,Sep 2020 - SGU Rated Output In kW,Oct 2020 - Installations Quantity,Oct 2020 - SGU Rated Output In kW,Nov 2020 - Installations Quantity,Nov 2020 - SGU Rated Output In kW,Dec 2020 - Installations Quantity,Dec 2020 - SGU Rated Output In kW,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW,Jun 2021 - Installations Quantity,Jun 2021 - SGU Rated Output In kW,Jul 2021 - Installations Quantity,Jul 2021 - SGU Rated Output In kW,Aug 2021 - Installations Quantity,Aug 2021 - SGU Rated Output In kW,Sep 2021 - Installations Quantity,Sep 2021 - SGU Rated Output In kW,Oct 2021 - Installations Quantity,Oct 2021 - SGU Rated Output In kW,Nov 2021 - Installations Quantity,Nov 2021 - SGU Rated Output In kW,Dec 2021 - Installations Quantity,Dec 2021 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
3143,210,1072.567,2,12.125,1,4.950,2,13.250,2,13.230,3,20.600,4,36.675,0,0.000,1,39.000,1,6.400,1,5.280,4,35.550,3,16.840,1,3.650,3,29.675,2,15.425,1,12.950,0,0.000,3,19.320,3,25.105,2,15.480,3,53.410,4,21.870,2,25.160,5,34.750,263,1533.262
3144,327,1796.328,1,6.500,3,16.840,8,47.445,3,18.090,10,88.660,10,65.780,3,37.700,7,39.300,2,36.920,5,32.750,4,33.190,5,42.930,1,6.660,5,42.050,6,44.110,7,34.725,3,21.510,1,7.665,6,95.880,3,31.670,3,28.240,8,53.550,5,41.050,2,19.110,438,2688.653
3145,838,3459.309,9,53.715,17,102.915,13,81.200,8,45.910,7,46.900,6,35.960,11,83.500,2,10.000,0,0.000,8,44.590,9,60.475,16,111.800,15,123.825,11,80.625,23,126.630,15,100.740,11,63.710,5,36.175,14,91.165,10,77.920,7,62.905,17,162.870,15,133.120,23,149.295,1110,5345.254
3146,939,3985.827,7,51.762,11,63.545,14,91.810,7,41.220,12,67.010,13,125.445,12,78.440,5,37.680,6,78.885,13,108.645,25,185.020,20,140.630,19,115.090,14,87.030,16,115.800,10,75.550,12,76.390,11,94.920,12,86.381,8,60.810,9,61.045,16,139.030,18,142.030,19,186.410,1248,6296.405
3147,765,2963.778,7,36.390,12,76.685,11,91.005,11,155.450,9,61.740,11,82.110,8,51.900,3,31.200,0,0.000,11,88.395,17,110.945,16,109.450,11,67.895,15,90.600,21,173.955,11,70.385,14,72.410,10,68.825,12,71.670,9,55.270,10,93.270,5,39.370,11,82.970,18,134.365,1028,4880.033
3148,388,1369.940,3,19.250,4,23.430,7,36.470,6,38.310,7,32.510,7,40.620,7,48.005,0,0.000,0,0.000,8,51.480,7,39.030,5,37.930,7,58.990,8,42.490,11,57.710,10,58.250,12,71.750,7,126.060,5,29.720,4,13.220,3,21.090,9,51.800,16,85.335,5,27.220,546,2380.610
3149,1989,7682.771,28,176.650,28,168.780,43,294.735,25,140.960,18,147.200,20,146.605,32,255.745,10,56.370,3,22.600,22,154.940,43,303.665,52,390.040,28,183.070,39,271.740,46,303.065,32,217.390,34,291.810,33,209.010,40,253.450,36,265.095,23,171.655,32,216.705,38,275.885,33,244.525,2727,12844.461
3150,3909,14953.141,52,321.720,61,391.325,67,448.595,52,337.675,50,325.085,57,375.985,61,443.550,13,81.495,7,173.300,50,417.040,99,711.760,97,705.240,64,439.370,69,479.190,77,547.580,62,427.990,55,400.360,56,400.735,69,461.425,57,448.710,46,372.435,62,476.655,44,336.110,75,578.700,5311,25055.171
3151,561,1847.998,9,60.030,4,24.580,6,35.180,5,27.795,7,46.115,10,59.745,8,59.580,3,19.785,0,0.000,11,386.865,29,122.550,50,194.020,17,91.700,46,147.680,11,63.800,11,74.680,4,25.530,19,94.650,51,224.080,10,50.970,10,64.620,4,30.380,7,48.970,13,105.670,906,3906.973
3152,2306,9120.912,46,353.520,36,219.860,53,322.515,30,173.390,34,229.985,46,344.910,49,313.975,8,51.235,2,68.760,41,258.140,57,371.780,57,404.565,52,372.320,33,218.230,51,336.020,38,342.055,39,264.415,33,327.890,40,254.595,37,248.840,18,126.710,37,254.370,43,289.700,39,431.710,3225,15700.402
