Small Unit Installation Postcode,Previous Years (2001-2021) - Installation Quantity,Previous Years (2001-2021) - SGU Rated Output In kW,Jan 2022 - Installations Quantity,Jan 2022 - SGU Rated Output In kW,Feb 2022 - Installations Quantity,Feb 2022 - SGU Rated Output In kW,Mar 2022 - Installations Quantity,Mar 2022 - SGU Rated Output In kW,Apr 2022 - Installations Quantity,Apr 2022 - SGU Rated Output In kW,May 2022 - Installations Quantity,May 2022 - SGU Rated Output In kW,Jun 2022 - Installations Quantity,Jun 2022 - SGU Rated Output In kW,Jul 2022 - Installations Quantity,Jul 2022 - SGU Rated Output In kW,Aug 2022 - Installations Quantity,Aug 2022 - SGU Rated Output In kW,Sep 2022 - Installations Quantity,Sep 2022 - SGU Rated Output In kW,Oct 2022 - Installations Quantity,Oct 2022 - SGU Rated Output In kW,Nov 2022 - Installations Quantity,Nov 2022 - SGU Rated Output In kW,Dec 2022 - Installations Quantity,Dec 2022 - SGU Rated Output In kW,Jan 2023 - Installations Quantity,Jan 2023 - SGU Rated Output In kW,Feb 2023 - Installations Quantity,Feb 2023 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
3169,1407,7707.919,11,70.275,6,31.84,7,46.125,10,71.415,14,93.825,8,49.345,8,53.98,12,99.315,11,96.87,13,201.255,12,176.375,8,56.045,6,38.46,4,32.335,1537,8825.379
3170,1720,10219.012,10,62.65,19,126.94,7,65.765,11,83.56,8,55.715,17,146.495,14,134.21,17,152.185,13,84.015,7,47.34,9,84.965,14,126.115,8,51.705,4,23.655,1878,11464.327
3171,1685,9423.185,8,51.93,12,90.18,13,113.25,16,147.155,10,84.795,11,85.08,7,53.2,12,100.005,14,123.705,10,86.32,13,180.475,10,74.165,7,56,2,12.45,1830,10681.895
3172,1976,10091.166,16,113.625,18,126.345,13,101.19,18,118.62,11,134.725,8,60.14,11,187.88,12,81.165,18,119.615,9,65.005,19,157.275,22,175.995,9,66.025,4,24.21,2164,11622.981
3173,3440,19285.786,11,80.53,22,167.9,29,298.47,19,164.12,25,267.16,17,111.55,27,215.28,26,191.58,36,445.72,14,104.145,16,122.385,24,183.09,12,83.765,10,77.695,3728,21799.176
3174,2626,12587.458,8,56.34,18,201.05,16,90.745,11,108.25,13,116.49,23,146.345,22,146.02,15,206.805,23,147.64,9,53.795,23,173.475,23,255.38,17,126.785,8,49.84,2855,14466.418
3175,3892,36105.699,14,250.5,34,323.92,30,590.675,25,497.085,33,555.61,25,451.5,38,454.335,36,599.05,33,513.595,25,501.285,50,891.775,48,829.93,16,166.17,3,20.335,4302,42751.464
3176,1,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.1
3177,809,3627.632,2,13.82,9,31.42,11,80.09,7,43.02,9,52.525,8,44.64,5,32.35,8,45.095,10,58.22,5,33.2,10,60.63,9,65.005,5,59.995,2,11.62,909,4259.262
3178,3921,17974.933,17,209.55,31,206.195,29,224.775,14,103.59,32,218.6,18,144.51,28,221.225,27,190.295,21,212.58,18,152.125,36,261.66,27,245.935,27,230.81,14,102.955,4260,20699.738
3179,615,4109.488,4,58.53,2,14.28,5,32.81,3,16.92,5,32.8,7,65.77,4,126.875,5,30.32,5,30.92,4,30.85,6,54.325,9,260.69,5,48.97,0,0,679,4913.548
3180,857,4892.38,5,30.28,5,28.06,9,70.93,8,114.89,2,16.975,7,70.35,7,48.02,6,33.71,9,86.265,2,11.59,8,59.38,14,146.655,8,60.525,1,2.22,948,5672.23
3181,370,1864.818,2,35.52,3,15.795,7,33.845,3,19.05,6,66.445,4,25.58,4,45.21,2,10.37,5,31.68,3,32,4,37.185,6,41.04,1,6.64,3,19.92,423,2285.098
3182,370,1978.825,0,0,3,23.48,6,32.4,4,25.575,6,122.955,6,46.29,1,6.64,7,44.12,2,24.75,3,18.51,3,22.715,3,31.31,0,0,1,9.96,415,2387.53
3183,444,2014.885,5,34.42,8,64.2,2,12.87,4,29.8,2,11.42,3,112.34,5,17.06,1,5.46,3,21.84,6,48.825,7,48.66,2,15.45,2,11.62,3,14.91,497,2463.76
3184,440,1835.025,2,12.14,4,29.97,3,14.8,3,13.21,2,17.55,4,22.185,4,41.32,4,35.48,3,23.31,4,32.39,12,77.075,6,37.195,2,13.28,0,0,493,2204.93
3185,510,2429.321,3,24.11,8,77.09,6,40.865,2,15.81,8,57.15,1,6.66,2,13.24,7,55.34,8,57.43,2,13.62,8,74.2,7,45.885,6,47.75,3,22.825,581,2981.296
3186,1123,6577.039,7,64.08,17,137.515,14,229.525,7,75.865,13,113,10,84.26,11,87.095,9,94.815,15,187.865,11,145.4,10,80.87,11,109.335,8,68.67,3,19.865,1269,8075.199
3187,1038,5132.262,9,71.615,12,110.15,11,90.115,10,86.165,6,46.08,13,95.165,10,75.44,9,64.645,13,97.08,9,104.495,13,95.45,14,80.08,4,27.805,3,24.79,1174,6201.337
3188,1003,4707.354,5,30.59,10,70.805,18,149.19,10,77.52,7,144.81,13,98.945,8,65.09,14,103.995,12,91.195,14,122.815,17,152.57,13,99.66,5,28.235,3,23.25,1152,5966.024
3189,584,4745.306,1,8.19,8,57.75,2,16.5,0,0,6,62.88,3,19.93,6,57.545,6,53.9,5,26.6,1,6.56,8,52.005,6,47.525,2,28.57,0,0,638,5183.261
3190,542,2814.293,2,11.42,5,36.07,5,40.71,8,64.235,8,52.7,8,58.35,9,65.35,8,53.63,7,50.145,10,65.57,6,44.945,8,58.825,6,38.655,0,0,632,3454.898
3191,623,3409.805,3,17.21,5,60.35,7,51.24,3,23.47,1,5.46,9,97.95,5,29.195,11,91.63,11,78.375,6,50.49,9,72.61,6,65.3,5,46.24,1,7.47,705,4106.795
3192,1439,8664.048,15,110.37,36,265.15,24,273.485,16,143.86,19,151.58,8,58.35,17,133.79,17,153.825,20,144.385,12,133.045,18,170.125,12,99.945,7,49.06,3,25.56,1663,10576.578
3193,1291,6853.452,7,61.52,23,225.595,26,155.565,16,142.27,13,111.31,18,146.4,18,149.36,15,131.495,19,168.755,12,105.95,17,130.92,20,202.915,10,94.265,6,40.68,1511,8720.452
3194,695,3994.802,5,49.89,9,86.34,12,273.715,4,46.53,9,62.4,8,59.625,6,60.095,8,59.41,7,39.805,5,50.66,10,77.15,16,117.21,6,43.16,2,13.28,802,5034.072
3195,3012,19780.008,13,91.79,37,391.87,32,382.125,21,239.365,21,285.305,22,203.215,30,263.32,34,292.35,35,376.94,31,285.915,30,248.14,29,307.305,21,151.56,12,111.98,3380,23411.188
3196,1993,8900.209,11,80.05,23,209.06,11,77.7,16,126.525,17,107.6,10,101.135,26,185.59,17,143.85,18,143.905,18,132.335,22,164.805,17,120.15,16,163.055,8,63.275,2223,10719.244
3197,1142,4756.281,3,21,5,37.94,2,13.74,8,50.62,6,45.66,8,54.77,15,106.385,6,60.51,6,40.345,11,78.485,10,75.87,6,51.15,5,33.75,1,10.375,1234,5436.881
3198,1587,7447.894,7,51.845,12,80.86,11,72.265,10,88.215,18,104.41,6,79.26,12,104.525,9,71.505,17,205.44,8,94.445,18,133.54,14,247.08,5,30,5,70.4,1739,8881.684
3199,4560,20815.121,22,166.3,30,206.11,27,198.9,37,351.755,31,252.745,32,239.41,45,336.655,43,287.15,28,294.16,28,251.805,61,715.655,41,314.19,32,280.57,14,111.555,5031,24822.081
