Small Unit Installation Postcode,Previous Years (2001-2021) - Installation Quantity,Previous Years (2001-2021) - SGU Rated Output In kW,Jan 2022 - Installations Quantity,Jan 2022 - SGU Rated Output In kW,Feb 2022 - Installations Quantity,Feb 2022 - SGU Rated Output In kW,Mar 2022 - Installations Quantity,Mar 2022 - SGU Rated Output In kW,Apr 2022 - Installations Quantity,Apr 2022 - SGU Rated Output In kW,May 2022 - Installations Quantity,May 2022 - SGU Rated Output In kW,Jun 2022 - Installations Quantity,Jun 2022 - SGU Rated Output In kW,Jul 2022 - Installations Quantity,Jul 2022 - SGU Rated Output In kW,Aug 2022 - Installations Quantity,Aug 2022 - SGU Rated Output In kW,Sep 2022 - Installations Quantity,Sep 2022 - SGU Rated Output In kW,Oct 2022 - Installations Quantity,Oct 2022 - SGU Rated Output In kW,Nov 2022 - Installations Quantity,Nov 2022 - SGU Rated Output In kW,Dec 2022 - Installations Quantity,Dec 2022 - SGU Rated Output In kW,Jan 2023 - Installations Quantity,Jan 2023 - SGU Rated Output In kW,Feb 2023 - Installations Quantity,Feb 2023 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
0,4,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.46
200,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08
800,118,3007.51,0,0,0,0,0,0,0,0,0,0,0,0,1,9.25,1,39.78,0,0,1,18.8,1,28.08,3,258.26,0,0,0,0,125,3361.68
801,10,277.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,277.098
803,2,11.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.685
804,15,78.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,78.31
810,3477,22870.496,7,152.64,18,138.16,21,157.47,23,253.555,22,159.82,22,192.905,15,226.16,25,266.165,24,183.235,32,256.045,39,308.165,28,264.76,11,86.01,19,153.755,3783,25669.341
811,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
812,1924,12050.485,9,152.27,13,90.02,14,108.94,8,62.35,7,46.82,11,85.195,12,98.47,9,82.73,15,114.18,21,171.455,19,143.545,16,208.615,8,55.28,6,48.76,2092,13519.115
813,7,85.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,85.549
814,4,18.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18.24
820,1193,12453.829,2,15.6,5,37.37,15,297.58,10,71.645,9,116.515,7,62.84,8,68.845,12,221.07,12,123.12,11,92.65,9,97.56,5,97.955,10,173.8,5,65.92,1313,13996.299
821,7,156.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,156.303
822,974,10533.294,2,13.26,10,81.92,11,206.5,6,93.86,11,102.32,12,290.64,21,406.78,8,83.895,16,136.155,6,55.18,7,77.3,11,116.59,1,14.43,2,13.27,1098,12225.394
828,282,3982.211,2,46.56,4,28.43,2,13.29,1,9.25,9,139.61,2,13.1,2,14.495,6,77.02,1,6.6,4,59.42,6,38.14,6,78.485,3,32.005,1,12.45,331,4551.066
829,37,899.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,195.39,0,0,0,0,0,0,0,0,0,0,2,29.53,41,1124.9
830,2090,13519.379,8,74.18,13,146.68,19,132.14,13,90.21,18,140.565,15,117.565,13,110.78,9,68.79,14,122.845,17,311.2,18,149.13,14,96.66,11,82.3,8,88.59,2280,15251.014
831,9,38.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,38.98
832,2508,15355.639,12,82.87,15,102.25,32,218.685,19,140.03,19,155.535,29,204.34,25,197.615,15,117.925,18,134.83,34,242.645,34,254.66,19,125.16,12,93,12,93.16,2803,17518.344
834,254,1913.852,1,9.25,2,28.305,1,13.26,0,0,2,17.76,2,17.17,1,4.44,3,22.88,4,55.88,3,18.1,2,41.11,2,31.82,3,25.25,1,9.25,281,2208.327
835,524,3603.943,0,0,6,54.54,3,35.88,2,23.46,2,28.3,1,8.36,2,19.98,2,14.8,3,132.43,4,41.54,2,30.42,2,11.64,1,6.63,1,9.36,555,4021.283
836,1237,8683.711,1,10.78,9,76.73,20,183.725,13,130.97,11,121.52,10,109.935,9,93.85,10,99.53,7,74.28,11,94.54,11,103.74,4,43.84,2,17.16,4,38.18,1359,9882.491
837,64,620.391,0,0,0,0,0,0,0,0,1,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,629.521
838,128,1033.292,0,0,0,0,2,14.43,2,16.31,3,31.14,0,0,1,13.32,1,6.24,3,36.26,0,0,1,6.63,0,0,0,0,0,0,141,1157.622
839,25,575.03,0,0,0,0,1,99.9,2,17.76,1,6.66,0,0,0,0,0,0,1,6.6,1,16.28,0,0,3,44.77,0,0,0,0,34,767
840,121,764.785,2,15.91,1,6.585,0,0,0,0,0,0,1,6.66,1,8.97,0,0,0,0,0,0,1,6.63,1,20.335,0,0,0,0,128,829.875
841,78,848.75,1,6.66,0,0,1,8.97,3,29.54,0,0,1,13.32,0,0,1,9.99,1,9.25,0,0,0,0,0,0,0,0,1,18.72,87,945.2
845,75,620.076,1,9.24,0,0,0,0,0,0,4,30.51,0,0,1,8.97,1,5.67,0,0,1,16.28,0,0,0,0,0,0,0,0,83,690.746
846,48,320.19,0,0,0,0,0,0,0,0,1,6.66,0,0,0,0,1,4.68,0,0,0,0,0,0,1,11.88,0,0,0,0,51,343.41
847,24,283.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,283.005
850,855,6908.264,2,95.38,6,39.87,5,131.07,7,64.22,2,15.91,8,72.96,3,25.16,4,34.92,9,58.46,2,27.51,4,33.3,1,9.25,1,19.61,1,6.66,910,7542.544
851,46,325.375,0,0,0,0,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,364.375
852,221,2508.74,0,0,1,10.36,9,196.74,3,124.2,8,269.22,7,44.29,3,17.76,7,74.92,1,5.92,16,102.12,23,103.6,0,0,0,0,0,0,299,3457.87
853,2,52.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,52.97
854,17,234.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,234.025
860,145,1023.479,0,0,1,4.44,0,0,0,0,0,0,1,5.92,1,16.38,1,6.66,3,16.32,1,13.26,0,0,0,0,0,0,0,0,153,1086.459
861,24,136.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,136.115
862,34,377.315,0,0,0,0,0,0,0,0,0,0,0,0,5,29.6,31,183.52,0,0,0,0,0,0,0,0,0,0,0,0,70,590.435
870,2732,17620.776,2,17.73,7,52.1,15,103.21,11,81.1,5,108.74,16,351.41,6,42.45,9,93.05,11,95.7,10,90.08,10,70.245,10,106.695,5,57.605,1,6.64,2850,18897.531
871,58,411.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,411.82
872,235,2744.472,0,0,2,36.97,5,101.86,3,76.98,5,150.47,2,54.12,3,77.74,3,33.62,3,133.34,3,40.585,3,89.8,1,8.88,0,0,0,0,268,3548.837
873,147,1116.919,0,0,0,0,2,19.8,1,6.66,1,6.66,2,13.32,1,14.82,0,0,1,2.34,0,0,1,6.63,0,0,0,0,0,0,156,1187.149
874,19,147.51,0,0,1,6.66,1,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.64,0,0,0,0,22,167.47
875,150,1017.116,1,12.64,0,0,2,13.32,3,28.18,0,0,1,6.66,1,19.885,1,6.66,2,8.735,0,0,2,11.835,2,14.92,0,0,0,0,165,1139.951
880,23,239.201,0,0,0,0,0,0,0,0,0,0,0,0,2,164.64,0,0,0,0,0,0,3,150.53,1,37.37,0,0,0,0,29,591.741
881,12,107.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.6,1,7.8,1,2.34,0,0,0,0,0,0,0,0,16,133.47
885,30,771.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,771.64
886,11,171.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,171.69
1340,1,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.14
1355,1,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.81,0,0,0,0,2,6.83
1435,1,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.54
1460,1,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.75
1470,2,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.81
1475,3,11.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11.985
1480,2,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.88
1485,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1490,1,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.79,2,9.3
1495,2,11.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.23
1560,1,5.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.025
1570,2,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.15
1595,3,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11.7
1630,7,33.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,33.785
1640,2,15.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.075
1655,3,17.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17.845
1658,1,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.04
1660,2,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.92,0,0,1,7.885,4,31.905
1670,1,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.6,2,21.04
1680,2,9.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.79,3,20.17
1685,1,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.075,0,0,2,10.875
1710,1,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.8
1715,2,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.01
1730,4,13.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13.49
1741,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
1755,2,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.1
1765,8,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25.8
1790,4,115.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,115.9
1800,1,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2
1805,2,14.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.72
1830,1,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.08
1835,1,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.14
1848,1,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.04
1860,3,25.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25.42
1871,1,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.52
1875,1,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.61
1885,5,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13.29
1890,5,18.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18.04
2000,58,1415.121,0,0,0,0,0,0,0,0,0,0,1,22.2,1,54.45,0,0,0,0,1,11.88,2,150.965,0,0,0,0,0,0,63,1654.616
2007,29,397.14,0,0,0,0,0,0,0,0,0,0,1,4.05,0,0,0,0,0,0,1,38.88,0,0,0,0,0,0,0,0,31,440.07
2008,89,859.434,0,0,0,0,2,8.14,1,4.51,0,0,0,0,0,0,1,8.82,0,0,3,31.22,3,27.27,1,13.28,0,0,0,0,100,952.674
2009,21,564.74,0,0,0,0,0,0,0,0,2,106.605,0,0,0,0,0,0,0,0,0,0,1,39.84,0,0,0,0,1,34.56,25,745.745
2010,201,1452.609,2,13.66,2,5.76,7,81.465,1,6.66,2,8.99,3,25.08,0,0,0,0,3,29.02,2,10.79,0,0,5,27.775,1,6.64,3,7.735,232,1676.184
2011,51,794.699,0,0,1,3.33,0,0,1,22.23,0,0,1,7.2,1,40,2,3.7,0,0,1,13,1,19.09,0,0,0,0,0,0,59,903.249
2015,268,4107.082,3,20.31,3,34.7,2,99.42,2,12.74,3,122.73,11,271.605,5,127.115,4,47.01,3,52.17,0,0,8,161.125,5,224.67,1,5.81,1,5.395,319,5291.882
2016,143,876.129,1,4,0,0,2,12.34,0,0,3,25.25,3,22.02,0,0,1,4.29,2,12.86,3,35.975,1,5.46,2,35.01,2,11.13,0,0,163,1044.464
2017,90,1295.035,3,17.87,5,16.28,2,131.2,0,0,0,0,0,0,0,0,1,8.93,15,48.3,5,109.6,3,13.9,1,4.25,1,6.02,1,7.38,127,1658.765
2018,430,2559.692,3,25.07,3,21.46,6,37.4,8,63.535,8,151.125,9,72.465,6,39.92,10,91.62,7,108.33,3,41.77,3,29.05,4,21.995,3,23.865,7,41.925,510,3329.222
2019,429,4268.745,2,14.95,5,39.89,3,21.32,8,55.82,2,13.32,7,161.865,7,65.195,7,102.82,3,42.215,8,67.335,11,143.55,18,224.64,5,45.465,5,35.285,520,5302.415
2020,385,2925.152,1,6.29,6,42.18,6,133.445,3,26.195,2,106.86,8,74.425,11,212.52,4,29.96,3,18.86,6,36.935,3,32.13,5,42.22,5,44.66,2,12.4,450,3744.232
2021,254,1637.611,3,16.88,3,9.19,3,21.44,0,0,3,16.625,3,26.6,2,10.285,4,20.66,5,41.325,6,102.12,6,48.71,3,29.915,0,0,1,9.02,296,1990.381
2022,305,1650.429,5,31.53,5,43.495,7,53.98,2,13.3,4,22.515,4,34.26,1,8.91,4,27.805,2,18.715,4,36.135,5,26.515,4,21.555,2,12.685,1,12.45,355,2014.279
2023,276,2043.41,2,12.04,1,12.8,1,11.6,2,20.41,3,32,5,68.155,5,69.33,7,65.13,5,52.26,2,13.59,6,47.05,10,130.62,3,39.68,1,9.13,329,2627.205
2024,422,2784.023,1,5.475,3,24.28,3,22.8,1,5.07,6,51.145,5,37.01,5,38.925,5,41.55,8,76.9,3,29.785,12,106.435,3,24.6,3,111.14,6,46.505,486,3405.643
2025,147,869.84,0,0,3,18.59,1,34.2,3,35.16,4,41.525,1,5.33,1,6.16,3,54.06,1,8.3,2,14.29,3,14.94,3,28.45,2,14.56,2,21.96,176,1167.365
2026,643,3479.875,3,27.96,10,65.04,5,36.17,6,46.06,7,75.37,9,74.055,6,46.995,11,92.115,10,115.62,10,81.955,15,114.965,11,92,9,69.34,3,26.13,758,4443.65
2027,86,631.359,0,0,0,0,1,7.48,0,0,1,7.02,1,7.31,0,0,2,22.485,1,2.8,0,0,2,19.025,1,5.395,1,8.61,1,11.62,97,723.104
2028,68,593.12,1,4.08,1,12.45,2,27.27,0,0,1,8.51,2,11.22,1,10.92,1,9.96,0,0,0,0,0,0,0,0,0,0,1,6.64,78,684.17
2029,200,1309.739,4,38.32,2,22.92,0,0,1,11.1,3,31.17,4,43.3,3,30.38,4,24.5,4,31.59,2,13.08,4,41.63,7,66.645,2,18.675,3,23.84,243,1706.889
2030,505,3559.697,1,10.36,9,84.66,5,34.52,5,38.07,1,12.09,7,59.435,7,78.14,10,130.32,8,91.82,8,84.96,4,32.62,11,116.145,7,81.595,6,43.36,594,4457.792
2031,804,4767.447,6,43.97,6,54.67,11,99.25,2,25.52,8,38.51,12,99.13,11,88.345,8,65.915,5,30.175,6,58.125,15,120.325,10,84.15,8,71.77,3,26.56,915,5673.862
2032,419,2238.185,6,62.75,4,61.33,8,64.2,3,26.52,11,97.76,13,105.17,10,79.375,10,116.78,6,44.88,7,50.315,11,109.52,9,77.095,5,39.52,6,50.76,528,3224.16
2033,220,1394.207,4,29.24,1,6.66,5,39.85,1,7.77,4,31.66,5,38.16,5,42.15,8,62.94,5,42.66,0,0,4,39.045,2,7.8,3,34.72,3,22.525,270,1799.387
2034,523,2818.191,1,11.1,5,58.1,5,40.48,5,45.24,7,57.19,3,26.33,5,43.27,16,144.11,5,41.605,8,79.16,17,146.87,7,74.03,10,72.635,4,48.71,621,3707.021
2035,1264,6810.741,13,107.71,14,90.1,12,73.925,12,96.39,23,308.38,22,273.495,15,112.75,25,242.695,15,96.6,17,190.595,26,231.305,22,185.5,13,98.145,12,86.865,1505,9005.196
2036,1415,8159.48,14,125.8,17,150.8,18,129.37,19,134.335,11,96.65,30,287.715,15,157.25,25,222.84,28,210.395,16,223.955,26,409.405,38,338.06,7,61.53,10,84.49,1689,10792.075
2037,305,1546.18,0,0,5,29.83,1,31.16,0,0,2,20.125,6,46.24,2,6.1,0,0,4,34.69,6,121.845,6,68.62,1,6.15,1,6.375,1,3.69,340,1921.005
2038,380,1628.319,0,0,1,6.64,3,24.43,4,17.1,4,26.195,6,36.71,8,53.64,7,39.405,6,30.655,5,65.505,5,26.135,8,47.545,3,23.015,2,11.3,442,2036.594
2039,279,1283.956,2,7.96,5,24.85,1,4.15,1,10,3,9.935,6,35.45,1,6.225,6,44.8,3,36.26,6,96.5,6,48.155,9,60.675,2,11.025,1,6.64,331,1686.581
2040,935,4836.505,8,58.655,7,56.915,11,134.64,9,57.015,13,83.725,10,77.495,9,67.79,11,81.975,11,108.485,7,52.755,29,201.55,13,128.625,12,85.61,10,65.82,1095,6097.56
2041,527,2244.418,3,14.04,8,46.9,7,139,5,30.6,2,21.22,6,45.59,4,47.145,6,37.57,5,43.79,10,62.77,11,71.53,15,168.91,4,23.83,2,9.1,615,3006.413
2042,574,2627.22,4,24.73,7,81.4,5,30.18,3,17.34,4,21.405,6,34.03,6,31.01,7,70.41,7,34.46,5,35.65,7,41.335,5,34.4,5,22.875,6,38.96,651,3145.405
2043,143,719.894,1,8.4,0,0,3,19.24,1,7.47,2,19.44,3,15.17,1,6,2,13.4,3,12.35,2,18.485,0,0,0,0,2,11.77,0,0,163,851.619
2044,443,2562.839,3,16.54,3,114.27,5,29.025,4,39.665,3,18.87,4,32.13,2,14.94,11,91.475,10,82.57,6,35.59,5,28.705,4,29.12,3,18.965,3,24.07,509,3138.774
2045,334,2450.201,4,29.39,1,6.66,5,31.355,4,25.02,5,47.9,4,25.885,8,68.245,7,60.96,5,37.805,5,39.33,9,101.685,7,68.82,6,46.195,1,6.64,405,3046.091
2046,1003,6018.37,5,48.95,7,75.5,10,80.475,11,81.02,12,103.115,10,105.06,13,92.285,31,312.445,12,89.245,16,159.325,14,133.805,19,168.305,6,45.225,9,78.255,1178,7591.38
2047,308,1607.613,1,8,6,42.57,8,77.935,5,36.495,1,6.6,7,88.415,6,49.925,5,39.7,8,74.08,3,31.06,9,74.555,4,35.4,4,63.55,2,19.92,377,2255.818
2048,247,1344.494,3,43.25,3,19.56,2,12,1,35.52,2,11.6,8,61.78,4,62.06,4,19.78,8,47.955,4,28.88,10,73.27,4,117.11,1,10.625,2,11.405,303,1899.289
2049,391,1915.013,1,6.66,2,12.81,6,25.58,3,19.72,7,42.56,9,65.1,6,54.125,7,47.25,3,20.51,1,9.36,6,35.71,11,176.57,4,30.04,2,42.745,459,2503.753
2050,167,1400.466,3,19.89,0,0,1,6.4,1,36.45,1,39,0,0,1,6.4,7,140.83,1,27.28,4,26.78,0,0,3,28.865,0,0,0,0,189,1732.361
2055,1,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.4
2057,19,116.855,0,0,0,0,0,0,0,0,0,0,1,70.52,1,15.18,0,0,0,0,0,0,0,0,0,0,1,6.64,1,7.8,23,216.995
2059,3,43.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43.36
2060,218,1523.78,3,20.505,1,3.9,2,10.84,0,0,0,0,1,9.72,0,0,3,22.41,2,12.41,2,14.465,2,37.715,3,23.45,0,0,1,4.565,238,1683.76
2061,24,195.285,1,4.07,0,0,0,0,0,0,1,7.02,0,0,0,0,2,14.34,0,0,1,5.33,2,48.86,0,0,0,0,0,0,31,274.905
2062,177,902.119,1,6.66,2,12.43,1,3.7,0,0,2,13.76,1,6.64,2,15.22,5,52.61,1,3.51,2,23.6,4,31.955,5,35.175,0,0,1,7.47,204,1114.849
2063,446,2899.723,6,47.29,4,30.26,7,60.58,3,20.36,8,84.07,6,54.975,6,60.175,4,37.105,5,57.58,13,108.81,12,134.815,8,77.995,1,10,2,12.035,531,3695.773
2064,297,2797.441,1,13.09,2,40.71,3,20.17,5,152.11,1,8.88,2,106.65,2,17.61,5,45.82,6,51.39,2,14.01,3,36.6,2,17.43,1,8.2,3,25.255,335,3355.366
2065,706,4061.427,8,68.29,8,78.81,7,55.49,6,38.275,7,53.26,6,58.765,9,105.665,11,65.265,5,39.24,7,51.73,9,95.25,16,152.54,4,31.705,8,65.34,817,5021.052
2066,1420,8724.005,9,61.546,11,100.855,10,96.515,15,133.18,17,156.54,21,201.98,23,254.365,26,262.66,18,170.025,24,269.445,39,370.91,35,422.445,16,141.97,12,204.245,1696,11570.686
2067,720,3892.819,7,53.39,5,38.77,2,17.39,10,76.91,1,4.565,12,144.03,6,42.89,16,124.95,7,92.04,10,88.35,13,122.025,15,147.92,6,39.36,3,33.2,833,4918.609
2068,1001,5753.891,10,71.935,8,63.68,14,119.45,5,35.115,18,172.895,11,95.06,9,70.22,16,130.73,16,119.585,9,86.59,20,186.635,20,178.2,13,113.8,9,87.615,1179,7285.401
2069,822,4986.009,7,68.57,13,133.125,7,60.63,7,65.54,13,129.025,7,50.99,15,137.415,14,135.17,19,183.195,9,84.76,17,149.615,18,260.77,10,95.77,8,84.06,986,6624.644
2070,771,4793.157,5,39.12,5,53.19,7,48.48,5,57.095,5,73.16,9,99.15,5,39.43,20,195.21,14,132.27,12,128.39,18,197.845,19,188.23,12,110.74,6,60.505,913,6215.972
2071,705,4697.456,7,58.18,9,97.91,5,48.59,7,65.09,8,74.36,9,82.87,7,55.985,11,105.245,9,122.85,4,41.32,22,218.78,19,202.485,4,33.2,4,34.185,830,5938.506
2072,308,2195.307,1,6.66,1,10.53,2,17.845,4,28.6,1,7.03,3,27.36,4,48.06,4,89.535,4,47.74,5,59.345,6,47.12,5,44.235,3,45.995,1,7.885,352,2683.247
2073,940,5921.336,8,118.45,9,82.36,10,89.17,5,41.04,8,89.665,15,146.72,8,73.64,12,132.47,14,117.25,14,134.455,22,206.07,22,208.305,14,125.05,6,62.87,1107,7548.851
2074,1424,8436.122,18,177.175,19,187.8,15,141.86,13,118.815,18,179.965,16,162.165,10,100.775,25,239.525,21,192.39,19,176.285,26,266.17,25,242.58,17,163.395,8,88.03,1674,10873.052
2075,1226,7963.184,16,172.855,10,94.16,10,88.765,16,164.82,16,171.885,11,96.925,26,237.81,26,239.535,11,100.5,19,168.285,24,278.115,25,241.655,16,122.225,24,250.63,1476,10391.349
2076,1352,8268.529,12,119.635,15,122.52,15,110.08,11,106.98,12,136.62,18,184.885,14,100.085,26,271.03,22,200.085,22,223.46,24,259.4,32,294.8,14,114.16,6,59.76,1595,10572.029
2077,1694,9542.921,12,107.64,20,168.895,12,119.22,12,108.8,17,139.36,17,278.66,14,155.975,25,225.18,24,184.95,13,110.195,24,215.53,27,249.275,22,219.09,14,116.155,1947,11941.846
2079,588,2993.657,5,45.04,4,33.24,7,45.09,4,36.76,6,58.99,3,23.99,8,59.3,10,104.31,8,68.22,4,41.81,8,73.67,13,118.32,17,124.645,7,57.155,692,3884.197
2080,175,1262.09,1,10.15,1,10,2,16.41,1,6.63,2,16.8,2,78.05,1,12.09,2,15.17,2,14.355,1,8.14,2,16.24,2,15.95,2,10.79,1,9.975,197,1502.84
2081,596,2646.662,8,78.495,3,30.6,2,15.44,4,27.7,5,41.9,5,49.79,6,65.07,10,84.215,7,61.02,7,49.89,9,138.06,8,89.8,2,12.92,4,34.15,676,3425.712
2082,635,3089.47,7,59.49,2,10.92,1,10.78,2,16.02,1,13.12,7,59.535,4,25.515,6,43.715,7,71.95,3,26.5,11,91,13,120.875,4,41.085,6,56.11,709,3736.085
2083,214,1112.752,2,18.05,1,16.28,2,15.04,2,17.16,1,6.66,0,0,1,7.92,5,62.14,0,0,4,32.13,1,8.36,1,6.64,1,8.88,1,14.8,236,1326.812
2084,336,2442.032,0,0,2,17.16,5,49.96,6,47.335,1,13.05,5,58.76,1,11.89,5,43.455,6,133.525,3,22.7,5,54.795,4,40.64,5,61.405,3,28.92,387,3025.627
2085,1021,5610.025,10,93.82,13,119.25,11,100.04,11,93.19,11,134.55,15,130.315,12,119.1,15,142.22,11,127.415,15,129.175,27,250.205,17,192.295,8,75.56,10,76.925,1207,7394.085
