Small Unit Installation Postcode,Previous Years (2001-2018) - Installations Quantity,Previous Years (2001-2018) - SGU Rated Output In kW,Jan 2019 - Installations Quantity,Jan 2019 - SGU Rated Output In kW,Feb 2019 - Installations Quantity,Feb 2019 - SGU Rated Output In kW,Mar 2019 - Installations Quantity,Mar 2019 - SGU Rated Output In kW,Apr 2019 - Installations Quantity,Apr 2019 - SGU Rated Output In kW,May 2019 - Installations Quantity,May 2019 - SGU Rated Output In kW,Jun 2019 - Installations Quantity,Jun 2019 - SGU Rated Output In kW,Jul 2019 - Installations Quantity,Jul 2019 - SGU Rated Output In kW,Aug 2019 - Installations Quantity,Aug 2019 - SGU Rated Output In kW,Sep 2019 - Installations Quantity,Sep 2019 - SGU Rated Output In kW,Oct 2019 - Installations Quantity,Oct 2019 - SGU Rated Output In kW,Nov 2019 - Installations Quantity,Nov 2019 - SGU Rated Output In kW,Dec 2019 - Installations Quantity,Dec 2019 - SGU Rated Output In kW,Jan 2020 - Installations Quantity,Jan 2020 - SGU Rated Output In kW,Feb 2020 - Installations Quantity,Feb 2020 - SGU Rated Output In kW,Mar 2020 - Installations Quantity,Mar 2020 - SGU Rated Output In kW,Apr 2020 - Installations Quantity,Apr 2020 - SGU Rated Output In kW,May 2020 - Installations Quantity,May 2020 - SGU Rated Output In kW,Jun 2020 - Installations Quantity,Jun 2020 - SGU Rated Output In kW,Jul 2020 - Installations Quantity,Jul 2020 - SGU Rated Output In kW,Aug 2020 - Installations Quantity,Aug 2020 - SGU Rated Output In kW,Sep 2020 - Installations Quantity,Sep 2020 - SGU Rated Output In kW,Oct 2020 - Installations Quantity,Oct 2020 - SGU Rated Output In kW,Nov 2020 - Installations Quantity,Nov 2020 - SGU Rated Output In kW,Dec 2020 - Installations Quantity,Dec 2020 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
4101,948,4291.681,3,14.440,7,53.230,8,51.350,5,28.640,8,210.705,5,41.210,5,45.540,10,108.475,8,46.090,11,95.475,13,172.860,12,370.575,9,59.530,12,88.620,8,53.935,10,59.615,4,29.185,16,425.175,8,76.790,17,148.020,12,119.830,16,129.210,12,93.225,17,215.550,1184,7028.956
4102,455,1985.262,4,62.985,6,113.375,6,45.290,3,25.740,4,40.580,3,15.255,3,31.645,3,15.750,3,15.965,6,40.620,5,50.675,1,5.940,1,10.890,3,23.115,8,50.580,7,81.015,6,138.630,4,51.015,4,44.220,9,55.940,7,50.190,7,54.300,10,100.380,2,15.840,570,3125.197
4103,1015,3606.814,6,42.249,5,37.115,4,26.590,7,55.792,7,40.095,8,64.557,9,50.360,8,48.225,12,86.870,10,67.215,8,60.705,12,84.495,7,39.760,10,62.205,14,111.335,12,93.750,10,72.235,10,85.895,8,56.685,11,81.120,15,108.450,21,143.880,12,74.845,19,136.220,1260,5337.462
4104,480,2013.284,2,40.410,7,55.195,5,37.495,2,22.470,2,104.150,3,19.815,4,26.100,3,19.440,2,19.755,4,25.655,5,35.455,9,106.100,6,54.730,2,20.175,9,62.105,7,56.710,6,57.055,3,15.720,4,29.670,4,38.460,8,57.055,7,45.910,8,62.815,8,70.660,600,3096.389
4105,1152,4481.780,12,82.884,10,57.855,10,88.610,11,92.315,12,124.053,4,35.120,8,61.005,4,23.620,14,99.985,13,113.640,15,166.805,15,102.685,14,119.960,9,59.655,14,103.925,8,69.875,12,80.455,13,96.265,14,101.530,16,114.225,16,163.660,14,105.825,20,148.870,11,103.560,1441,6798.162
4106,231,2072.615,5,161.355,3,54.060,0,0.000,3,98.600,3,91.780,3,53.050,0,0.000,2,29.100,5,56.035,1,12.705,5,76.895,10,358.575,1,6.600,2,16.995,3,19.140,2,45.240,4,34.110,5,159.245,5,141.160,8,88.410,25,197.900,8,85.695,5,83.790,6,140.620,345,4083.675
4107,769,3472.828,9,60.175,8,58.070,9,64.215,5,35.050,9,171.100,7,80.860,6,53.055,11,123.795,8,84.415,12,274.165,13,143.830,9,76.940,9,68.480,6,39.490,11,82.330,16,128.070,5,46.000,11,174.945,11,116.180,9,76.610,9,155.430,18,173.935,15,140.950,9,68.960,1004,5969.878
4108,803,4089.761,6,39.505,3,43.900,4,30.215,6,40.840,10,146.065,7,104.125,2,8.325,3,44.520,7,120.960,9,105.220,18,201.855,9,125.495,4,39.180,6,49.380,13,117.905,6,69.480,10,215.865,10,290.360,11,69.695,7,46.950,7,145.610,14,181.260,13,162.110,15,177.480,1003,6666.061
4109,5637,18901.156,22,151.470,29,207.220,25,200.885,43,326.920,20,146.339,31,229.650,26,211.140,34,243.375,25,219.090,34,255.010,42,347.235,34,255.500,37,250.760,32,220.230,36,279.930,39,278.650,28,231.550,50,410.440,47,349.300,37,315.070,48,388.160,55,492.105,58,460.510,43,355.590,6512,25727.285
4110,1570,8139.594,21,195.050,37,271.945,31,306.250,26,169.490,30,344.850,26,228.590,38,580.685,41,474.975,32,345.140,45,364.955,38,332.150,55,502.945,30,282.545,34,278.360,53,547.065,31,381.525,39,296.975,53,534.020,69,785.300,66,894.255,65,682.525,71,684.950,41,379.045,53,567.020,2595,18570.204
4111,120,420.054,0,0.000,1,12.810,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,6.600,0,0.000,3,19.600,1,5.700,0,0.000,0,0.000,0,0.000,1,6.600,2,11.820,0,0.000,0,0.000,2,34.310,0,0.000,1,6.660,0,0.000,1,11.100,1,8.880,134,544.134
4112,1268,4411.558,6,38.720,8,55.100,12,86.360,17,125.810,8,56.405,2,17.415,5,33.030,11,67.715,9,70.015,7,59.260,16,147.655,10,78.240,12,83.630,15,106.755,8,62.640,7,58.440,13,116.930,8,50.620,22,159.170,23,174.240,8,68.985,13,101.270,18,136.695,22,181.760,1548,6548.418
4113,3693,12384.497,21,206.240,19,137.460,21,139.820,17,118.500,19,235.305,16,207.010,19,123.620,23,158.470,24,262.410,22,159.150,48,434.360,32,273.295,24,169.490,20,188.815,31,220.165,28,270.445,20,134.030,33,553.925,49,455.105,38,300.380,41,312.645,50,384.675,50,465.530,28,288.220,4386,18583.562
4114,2367,7983.265,8,49.925,16,91.660,21,159.275,5,43.195,9,60.770,11,76.655,15,101.640,17,288.070,21,207.645,9,68.565,17,129.110,15,129.810,8,115.915,11,173.670,44,288.135,15,108.245,33,265.900,16,115.305,27,234.495,27,205.715,25,168.560,33,324.015,43,300.280,25,411.200,2838,12101.020
4115,3054,10684.472,20,143.550,24,170.590,15,103.090,19,126.610,22,186.475,24,160.210,24,174.900,23,146.165,14,93.180,25,185.920,35,239.235,41,285.700,23,165.165,26,180.385,26,178.435,20,144.840,23,242.930,37,261.990,28,220.035,22,172.355,34,368.805,32,243.420,38,414.655,31,263.980,3680,15557.092
4116,3898,13033.160,25,163.475,22,148.835,26,175.160,17,124.875,25,171.565,17,126.540,27,193.075,22,134.245,30,215.435,27,180.675,31,239.945,44,343.115,25,193.060,35,256.920,36,270.470,35,252.950,33,248.760,45,494.685,41,312.870,44,351.585,43,335.890,57,439.880,68,517.320,60,550.540,4733,19475.030
4117,225,1324.180,1,6.600,7,44.430,2,12.170,2,12.650,6,33.075,1,39.680,6,131.165,2,39.060,7,57.055,6,45.990,6,68.215,7,53.535,9,63.765,10,258.070,7,140.910,4,95.835,3,22.770,6,119.600,4,42.610,4,49.460,3,22.660,5,40.890,8,74.930,9,239.200,350,3038.505
