YEAR,MONTH,DAY,HUMIDITY,WINDSPEED,DATE,TOTALDEMAND,HOLIDAY,MIN,MAX,SOLAR,TEMPAVE,RRP,FORECASTDEMAND,OUTPUT,MONTHDATE,WEEKDAY,WEEKEND
2021,5,1,0.8208888888888886,12.622222222222222,2021-05-01,6987.140104166665,0.0,10.9,23.5,8.7,17.2,38.313125,7105.149106606596,259.035,05-2021,5,1
2021,5,2,0.8208888888888886,12.622222222222222,2021-05-02,6862.108298611109,0.0,11.2,24.7,12.1,17.95,41.471875000000004,6950.436722972963,259.035,05-2021,6,1
2021,5,3,0.7197222222222217,14.333333333333334,2021-05-03,7400.42375,0.0,11.0,26.1,13.8,18.55,47.605,7350.077477477493,259.035,05-2021,0,0
2021,5,4,0.7508333333333334,12.104166666666666,2021-05-04,8069.608749999998,0.0,13.2,15.9,3.1,14.55,52.036808510638295,7892.211189939935,259.035,05-2021,1,0
2021,5,5,0.8453191489361694,12.808510638297872,2021-05-05,8018.6238888888865,0.0,14.1,20.1,6.7,17.1,40.97666666666667,8006.51749249248,259.035,05-2021,2,0
2021,5,6,0.920199999999999,19.28,2021-05-06,7881.503541666663,0.0,14.2,22.2,8.9,18.2,43.92090909090909,7802.058915165157,259.035,05-2021,3,0
2021,5,7,0.9112244897959174,28.183673469387756,2021-05-07,7619.003229166662,0.0,17.9,22.9,9.9,20.4,59.02136363636364,7644.842376126129,259.035,05-2021,4,0
2021,5,8,0.8779166666666659,21.3125,2021-05-08,7002.9756597222195,0.0,12.9,25.9,11.9,19.4,53.990625000000016,7039.397413663673,259.035,05-2021,5,1
2021,5,9,0.6746808510638295,13.106382978723405,2021-05-09,6990.917812500001,0.0,13.9,21.0,7.8,17.45,44.28374999999999,7008.567653903907,259.035,05-2021,6,1
2021,5,10,0.6639130434782609,10.695652173913043,2021-05-10,7444.3196527777745,0.0,11.5,25.1,13.0,18.3,43.302391304347815,7490.5135022522545,259.035,05-2021,0,0
2021,5,11,0.6268085106382982,13.319148936170214,2021-05-11,7804.489999999997,0.0,11.6,22.5,10.7,17.05,53.18260869565216,7755.374046546547,259.035,05-2021,1,0
2021,5,12,0.7159523809523809,13.619047619047619,2021-05-12,7726.633993055557,0.0,11.1,22.0,12.8,16.55,55.155348837209296,7753.034954954958,259.035,05-2021,2,0
2021,5,13,0.8236956521739124,20.456521739130434,2021-05-13,7620.045833333335,0.0,12.8,23.7,12.8,18.25,45.52895833333333,7605.102894144146,259.035,05-2021,3,0
2021,5,14,0.6808888888888889,13.4,2021-05-14,7569.005069444447,0.0,10.5,19.5,12.8,15.0,39.98645833333334,7727.73485360361,259.035,05-2021,4,0
2021,5,15,0.45173913043478264,25.47826086956522,2021-05-15,7640.474861111109,0.0,6.7,17.7,10.5,12.2,41.90255319148937,7756.966403903901,259.035,05-2021,5,1
2021,5,16,0.4743749999999997,24.6875,2021-05-16,7601.169861111117,0.0,4.6,18.5,12.6,11.55,43.60625000000001,7781.323171921915,259.035,05-2021,6,1
2021,5,17,0.43624999999999997,22.354166666666668,2021-05-17,8239.86423611111,0.0,7.2,20.1,11.3,13.65,54.02789473684211,8372.636114864858,259.035,05-2021,0,0
2021,5,18,0.552608695652174,19.434782608695652,2021-05-18,8405.331145833341,0.0,4.9,20.2,12.4,12.55,59.07358974358974,8445.445630630651,259.035,05-2021,1,0
2021,5,19,0.5851162790697677,11.465116279069768,2021-05-19,8419.870000000003,0.0,5.1,20.7,12.3,12.899999999999999,51.04243902439025,8319.590491741725,259.035,05-2021,2,0
2021,5,20,0.6704878048780487,12.829268292682928,2021-05-20,8316.378125000005,0.0,4.6,21.8,12.0,13.2,65.73833333333334,8292.083029279276,259.035,05-2021,3,0
2021,5,21,0.6347727272727276,13.25,2021-05-21,8675.520868055546,0.0,6.8,18.1,5.8,12.450000000000001,62.619749999999996,8404.030698198196,259.035,05-2021,4,0
2021,5,22,0.7658536585365854,18.0,2021-05-22,7741.714374999998,0.0,5.6,21.0,12.0,13.3,53.61279069767443,7779.528284534534,259.035,05-2021,5,1
2021,5,23,0.7739130434782604,11.891304347826088,2021-05-23,7562.015381944437,0.0,9.1,20.9,9.5,15.0,48.50652173913045,7528.368198198198,259.035,05-2021,6,1
2021,5,24,0.827441860465116,14.906976744186046,2021-05-24,8166.5677083333285,0.0,10.4,20.1,7.5,15.25,48.5354347826087,8071.693269519505,259.035,05-2021,0,0
2021,5,25,0.8664583333333328,9.895833333333334,2021-05-25,7927.592291666665,0.0,9.7,22.2,10.8,15.95,57.29076923076922,8002.7845041952805,259.035,05-2021,1,0
2021,5,26,0.7368888888888889,18.533333333333335,2021-05-26,7834.088124999998,0.0,12.3,21.5,11.6,16.9,57.863809523809515,7884.207556634316,259.035,05-2021,2,0
2021,5,27,0.5125531914893622,23.06382978723404,2021-05-27,8273.173020833334,0.0,5.0,18.6,11.7,11.8,69.47731707317072,8285.737667427698,259.035,05-2021,3,0
2021,5,28,0.49249999999999955,26.020833333333332,2021-05-28,8476.23479166667,0.0,6.3,17.3,11.6,11.8,66.67604651162792,8582.959245495478,259.035,05-2021,4,0
2021,5,29,0.5490697674418606,31.651162790697676,2021-05-29,8407.271284722221,0.0,7.3,16.9,9.3,12.1,72.26235294117647,8348.70064564565,259.035,05-2021,5,1
2021,5,30,0.5932558139534887,29.674418604651162,2021-05-30,8091.3046180555575,0.0,10.1,16.5,8.3,13.3,72.24146341463413,8151.534575825828,259.035,05-2021,6,1
2021,5,31,0.7032653061224492,22.714285714285715,2021-05-31,8486.520416666659,0.0,8.0,18.9,11.4,13.45,82.03090909090906,8603.925206456466,259.035,05-2021,0,0
2021,6,1,0.694782608695652,10.695652173913043,2021-06-01,8728.448611111105,0.0,4.8,19.7,10.6,12.25,90.45571428571427,8760.633130630631,237.485,06-2021,1,0
2021,6,2,0.694782608695652,10.695652173913043,2021-06-02,8430.53791666667,0.0,5.9,22.1,11.2,14.0,88.11545454545454,8583.796989489487,237.485,06-2021,2,0
2021,6,3,0.694782608695652,10.695652173913043,2021-06-03,9274.428641114986,0.0,8.0,13.2,3.5,10.6,91.92103448275866,9029.834181681665,237.485,06-2021,3,0
2021,6,4,0.694782608695652,10.695652173913043,2021-06-04,8580.155138888884,0.0,7.4,20.0,9.1,13.7,57.26463414634145,8571.32102102104,237.485,06-2021,4,0
2021,6,5,0.694782608695652,10.695652173913043,2021-06-05,8163.386875000001,0.0,4.6,16.9,11.2,10.75,58.099787234042566,8227.352556306294,237.485,06-2021,5,1
2021,6,6,0.694782608695652,10.695652173913043,2021-06-06,8047.890590277783,0.0,3.9,20.2,11.2,12.049999999999999,57.70186046511628,8002.83682432433,237.485,06-2021,6,1
2021,6,7,0.694782608695652,10.695652173913043,2021-06-07,8732.215520833332,0.0,3.7,19.6,10.9,11.65,56.499555555555524,8626.125157657665,237.485,06-2021,0,0
2021,6,8,0.694782608695652,10.695652173913043,2021-06-08,9130.497916666664,0.0,4.8,19.5,7.1,12.15,62.78355555555555,8791.441452702691,237.485,06-2021,1,0
2021,6,9,0.694782608695652,10.695652173913043,2021-06-09,8991.104902723739,0.0,7.8,15.4,10.6,11.6,66.01488888888889,9446.503907657661,237.485,06-2021,2,0
2021,6,10,0.694782608695652,10.695652173913043,2021-06-10,9919.417587719296,0.0,2.1,9.6,4.9,5.85,78.75,10149.379996246245,237.485,06-2021,3,0
2021,6,11,0.694782608695652,10.695652173913043,2021-06-11,9648.321666666663,0.0,3.3,15.5,9.4,9.4,81.02432432432433,9701.158532282274,237.485,06-2021,4,0
2021,6,12,0.694782608695652,10.695652173913043,2021-06-12,8564.742673611107,0.0,3.5,17.6,10.8,10.55,83.83150000000002,8628.63045420421,237.485,06-2021,5,1
2021,6,13,0.694782608695652,10.695652173913043,2021-06-13,8114.7901388888895,0.0,2.5,18.4,11.0,10.45,75.34521739130433,8323.826888138154,237.485,06-2021,6,1
2021,6,14,0.694782608695652,10.695652173913043,2021-06-14,8255.818090277775,2.0,6.8,17.5,8.4,12.15,100.20483870967743,8293.24167042041,237.485,06-2021,0,0
2021,6,15,0.694782608695652,10.695652173913043,2021-06-15,8973.163124999994,0.0,9.5,17.1,7.2,13.3,100.05640000000001,8843.303704954937,237.485,06-2021,1,0
2021,6,16,0.694782608695652,10.695652173913043,2021-06-16,8898.499722222223,0.0,6.0,19.2,10.6,12.6,91.4780487804878,8882.447830330326,237.485,06-2021,2,0
2021,6,17,0.694782608695652,10.695652173913043,2021-06-17,8817.63725694444,0.0,8.0,17.7,10.9,12.85,84.78605263157893,8940.859853603602,237.485,06-2021,3,0
2021,6,18,0.694782608695652,10.695652173913043,2021-06-18,8893.441423611112,0.0,5.0,18.4,10.3,11.7,85.83863636363635,8888.58461711711,237.485,06-2021,4,0
2021,6,19,0.694782608695652,10.695652173913043,2021-06-19,8740.555624999999,0.0,10.7,15.6,6.4,13.149999999999999,74.09113636363635,8535.370499249268,237.485,06-2021,5,1
2021,6,20,0.694782608695652,10.695652173913043,2021-06-20,8523.369305555556,0.0,11.4,16.1,7.8,13.75,91.97073170731707,8366.559283033053,237.485,06-2021,6,1
2021,6,21,0.694782608695652,10.695652173913043,2021-06-21,9037.558768115941,0.0,10.0,16.5,8.1,13.25,108.65212121212122,9069.129707207208,237.485,06-2021,0,0
2021,6,22,0.694782608695652,10.695652173913043,2021-06-22,9191.352090592336,0.0,7.5,16.9,8.2,12.2,84.84738095238096,9083.952680180186,237.485,06-2021,1,0
2021,6,23,0.694782608695652,10.695652173913043,2021-06-23,9061.679791666673,0.0,7.2,18.8,9.0,13.0,69.58673913043476,8916.586107357385,237.485,06-2021,2,0
2021,6,24,0.694782608695652,10.695652173913043,2021-06-24,8801.738611111108,0.0,9.6,22.8,8.5,16.2,63.330625,8671.053329579585,237.485,06-2021,3,0
2021,6,25,0.694782608695652,10.695652173913043,2021-06-25,8428.744062499994,0.0,8.4,19.0,11.0,13.7,75.68291666666667,8502.140953453458,237.485,06-2021,4,0
2021,6,26,0.694782608695652,10.695652173913043,2021-06-26,8173.734548611105,0.0,4.8,18.3,11.0,11.55,65.87208333333334,8241.674436936933,237.485,06-2021,5,1
2021,6,27,0.694782608695652,10.695652173913043,2021-06-27,8132.414444444443,0.0,2.6,19.3,11.0,10.950000000000001,57.64022222222223,8270.018415915934,237.485,06-2021,6,1
2021,6,28,0.694782608695652,10.695652173913043,2021-06-28,9124.341360294124,0.0,5.3,17.0,8.0,11.15,73.93499999999999,9158.639249249274,237.485,06-2021,0,0
