,HUMIDITY,WINDSPEED,TOTALDEMAND,SOLAR,RRP,FORECASTDEMAND,OUTPUT,TEMPAVE
min,0.22344827586206895,8.756756756756756,5983.135104166664,1.0,0.0,5518.989111111111,12.32,5.85
max,0.9663999999999991,44.595238095238095,9919.417587719296,32.2,163.23,10751.957091750843,458.355,34.4
mean,0.6753632750836508,20.15829188486542,7839.727705849107,15.986890114552388,68.13215764057473,7825.213094323004,132.0546882951641,18.52966497031386
median,0.6856395348837208,19.220867208672082,7758.870399305555,14.6,68.39347537878788,7732.721109261433,102.575,18.65
skew,-0.39138389816015695,0.8201069489041003,0.11979750113368885,0.4168570310486572,0.4926127459966659,0.2998946649430647,1.2365341469319757,0.21288928802836193
